Controlling corporation,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
NEWS AUSTRALIA HOLDINGS PTY LIMITED,32105197028,"3,616","82,616","411,966",-
NEXTDC LIMITED,35143582521,200,"81,631","304,397",-
NH FOODS AUSTRALIA PTY LTD,87001548401,"62,669","47,445","788,260",-
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED,50003902985,"245,234","634,083","8,544,446",-
NORTHERN STAR RESOURCES LTD,43092832892,"204,685","92,704","3,997,248",-
NORTON GOLD FIELDS LIMITED,23112287797,"66,751","78,859","1,319,610",-
NRG VICTORIA I PTY LTD,26076286578,"6,583,245","52,076","48,965,423",-
NSW TRAINS,50325560455,"61,017","157,012","1,577,333",-
NUFARM LIMITED,37091323312,"10,859","46,269","349,047",-
NYRSTAR AUSTRALIA PTY LTD,46124535468,"344,827","197,433","9,204,424",-
OLAM ORCHARDS AUSTRALIA PTY LTD,15139442532,"8,645","92,075","423,721",-
ORICA LIMITED,24004145868,"1,469,216","152,719","19,145,042",-
ORIGIN ENERGY LIMITED,30000051696,"16,840,200","1,264,798","150,572,788",-
ORORA LIMITED,55004275165,"324,906","320,567","6,794,894",-
OWENS-ILLINOIS (AUSTRALIA) PTY LTD,30002060059,"303,986","201,410","5,316,656",-
OZ MINERALS LIMITED,40005482824,"142,669","190,825","3,288,361",-
OZGEN HOLDINGS AUSTRALIA PTY LTD,34128655096,"5,461,353","3,992","41,284,079",-
PACT GROUP HOLDINGS LTD,55145989644,"14,413","253,549","1,221,481",-
PAPER AUSTRALIA PTY LTD,63061583533,"348,168","308,895","15,447,990",-
PARMALAT AUSTRALIA PTY LTD,56072928879,"44,394","74,488","1,056,448",-
PEABODY AUSTRALIA HOLDCO PTY LTD,61154820130,"3,162,736","278,492","9,903,159",-
PEAK GOLD ASIA PACIFIC PTY LTD,93103879054,"8,667","72,430","442,673",-
PECHINEY CONSOLIDATED AUSTRALIA PTY LIMITED,39076569769,"1,155,367","7,056,013","40,097,862",-
PERILYA LIMITED,85009193695,"11,698","133,661","744,657",-
PFD FOOD SERVICES PTY LTD,29006972381,"30,625","37,458","575,293",-
PMP LIMITED,39050148644,"9,295","59,442","412,459",-
PORT WARATAH COAL SERVICES LTD,99001363828,527,"124,746","541,556",-
POWER AND WATER CORPORATION,15947352360,"103,250","118,536","1,478,497",-
POWER GENERATION CORPORATION,72687980755,"980,606",0,"13,247,261",-
PRATT CONSOLIDATED HOLDINGS PTY LTD,43104958581,"344,992","1,041,745","21,884,381",-
PTTEP AUSTRALIA PERTH PTY LTD,74134686525,"360,767",535,"4,836,591",-
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61850109576,"8,664","129,589","738,268",-
PUMA ENERGY (AUSTRALIA) HOLDINGS PTY LTD,26147978890,"42,931","33,536","806,195",-
QANTAS AIRWAYS LIMITED,16009661901,"4,425,300","141,214","65,739,655",-
QCOAL PTY LTD,99010911234,"261,232","30,674","1,897,129",-
QENOS HOLDINGS PTY LTD,62086026968,"836,455","160,328","33,724,159",-
QGC MIDSTREAM INVESTMENTS PTY LTD,77130857215,"1,926,280",41,"33,311,319",-
QGC UPSTREAM INVESTMENTS PTY LTD,86131104651,"1,255,043","1,835,415","22,702,718",-
QIC LIMITED,95942373762,"4,713","100,598","482,582",-
QNI RESOURCES PTY LTD,14054117921,"766,069","43,877","10,575,485",-
QUADRANT ENERGY AUSTRALIA LIMITED,39009301964,"795,618",860,"14,797,847",-
QUBE HOLDINGS LIMITED,14149723053,"224,293","15,806","3,267,485",-
QUEENSLAND ALUMINA LIMITED,98009725044,"3,343,936","606,523","43,968,794",-
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82078849233,"15,732","1,205,554","5,525,682",-
QUEENSLAND NITRATES PTY LTD,63079889268,"169,852","45,011","3,234,559",-
QUEENSLAND RAIL,68598268528,"39,719","213,990","1,548,043",-
R.G. WITHERS NOMINEES PTY LTD,79597004756,697,"125,341","491,045",-
RAMELIUS RESOURCES LIMITED,51001717540,"54,096",169,"908,893",-
RAMSAY HEALTH CARE LIMITED,57001288768,"15,334","156,839","958,243",-
RATCH - AUSTRALIA CORPORATION LIMITED,31106617332,"153,087","5,445","2,059,584",-
RCI HOLDINGS PTY LTD,55101671121,"31,790","65,421","734,527",-
REGIONAL EXPRESS HOLDINGS LIMITED,18099547270,"109,617","1,062","1,566,748",-
REGIONAL POWER CORPORATION,57955011697,"99,200","38,357","1,664,828",-
REGIS RESOURCES LIMITED,28009174761,"196,795",0,"2,802,387",-
REMONDIS AUSTRALIA PTY LTD,95002429781,"219,695","4,274","680,392",-
RESOLUTE MINING LIMITED,39097088689,"17,451","53,995","500,454",-
RICEGROWERS LIMITED,55007481156,"10,385","58,076","424,349",-
RIDLEY CORPORATION LIMITED,33006708765,"57,207","72,976","1,404,382",-
RIO DOCE AUSTRALIA PTY LIMITED,63112797403,"557,856","58,192","425,003",-
RIO TINTO LIMITED,96004458404,"9,471,731","9,014,861","163,537,282",-
RITCHIES STORES PROPRIETARY LIMITED,61005041814,"19,163","75,830","290,664",-
RON FINEMORE TRANSPORT PTY LTD,30106495087,"70,650",488,"1,053,269",-
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY,49781030034,"7,234","68,272","354,434","This corporation has voluntarily provided information to the Clean Energy Regulator concerning GreenPower renewable energy purchases, voluntarily surrendered Renewable Energy Certificates or offset scope 2 greenhouse gas emissions totals. For further information refer to the separate table for GreenPower purchases, Renewable Energy Certificates and offset scope 2 emission totals 2015-16 report."
RTA HOLDCO AUSTRALIA 1 PTY LTD,17128762318,"131,046",0,"1,611,691",-
SANDFIRE RESOURCES NL,55105154185,"86,495",154,"1,246,933",-
SANTOS LIMITED,80007550923,"4,919,342","30,658","50,720,087",-
SARACEN MINERAL HOLDINGS LIMITED,52009215347,"126,806",62,"1,968,795",-
SCENTRE GROUP LIMITED,66001671496,"13,805","290,394","1,374,171",-
SCOTT'S FLEET RENTALS PTY LTD,79007681398,"61,071","1,197","873,037",-
SEAROAD HOLDINGS PTY LTD,16123749655,"53,344","1,035","736,916",-
SGSP (AUSTRALIA) ASSETS PTY LTD,60126327624,"603,600","377,631","5,839,740",-
SIBELCO ASIA PACIFIC PTY LTD,70092916811,"580,488","169,372","4,185,110",-
SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73009401736,"105,574","464,141","5,225,501",-
SILVER LAKE RESOURCES LIMITED,38108779782,"68,281",83,"1,191,814",-
