Registered Corporations,Scope 1,Scope 2,Scope 1+2,Energy Consumed
Linfox Pty Ltd,"224,899","46,919","271,818","3,403,429"
Lion Pty Ltd,"79,824","220,108","299,932","2,436,255"
Loy Yang Holdings Pty Ltd,"9,973,868","2,561","9,976,429","113,314,480"
LyondellBasell Australia (Holdings) Pty Ltd,"13,275","145,194","158,469","13,468,111"
M J Luff PTY Ltd,"56,800","3,894","60,693","877,563"
MACKAY SUGAR LIMITED,"90,880","8,197","99,078","13,283,626"
Macquarie Generation,"23,077,947","182,418","23,260,365","265,223,111"
Macquarie Group Limited,"5,080","46,446","51,526","264,931"
Mars Australia Pty Ltd,"37,402","89,351","126,754","1,000,349"
Mater Misericordiae Health Services Brisbane Limited,"8,527","43,473","52,000","278,598"
McCain Foods (Aust) Pty Ltd,"30,252","72,545","102,797","1,045,738"
McDonald's Australia Ltd,"1,884","129,826","131,710","525,796"
Melbourne Water Corporation,"221,678","185,204","406,882","1,835,927"
Metcash Limited,"20,087","159,106","179,193","776,037"
METRO TRAINS MELBOURNE PTY LTD,"5,987","517,031","523,018","1,627,699"
Metropolitan Health Service,"24,642","133,818","158,460","1,049,172"
MIRVAC LIMITED,"9,987","145,228","155,215","722,556"
MMG MANAGEMENT PTY LTD,"164,949","348,688","513,636","4,559,887"
MML Holdings Pty Ltd,"20,306","97,872","118,179","749,082"
Monash University,"17,142","122,608","139,750","693,989"
Mount Gibson Iron Limited,"143,553",753,"144,305","2,167,945"
Multinet Group Holdings Pty Limited,"271,522","2,986","274,509","32,958"
Murray Goulburn Co-operative Co. Limited,"157,360","473,993","631,352","5,225,017"
Myer Holdings Limited,"2,396","189,087","191,483","774,714"
National Australia Bank Limited,"12,311","134,058","146,368","723,454"
Navigator Resources Limited,"60,796",62,"60,857","1,016,009"
Nestle Australia Ltd,"39,094","164,358","203,452","1,731,254"
New Zealand Milk (Australasia) Pty Ltd,"191,134","180,357","371,491","3,622,535"
Newcrest Mining Limited,"715,651","726,864","1,442,515","17,914,090"
NewGen Kwinana Holdings Pty Ltd,"692,450","2,420","694,870","13,431,377"
NEWMONT AUSTRALIA HOLDINGS PTY LTD,"407,442","745,657","1,153,099","10,408,626"
News Australia Holdings Pty Limited,"5,656","110,658","116,313","528,103"
Nippon Meat Packers Australia Pty Ltd,"51,562","53,927","105,489","755,068"
